"tts_coefficient","tts_exponent","time_series","sub_time_series","tts_coefficient_error","tts_exponent_error","rsquared"
0.790868456841432,0.20520203558495,"^GSPC","absolute log-return",0.00741546676760117,0.00151073357413657,0.973819814692674
0.635190474555754,0.228416329210901,"^GSPC","original",0.00635299364856722,0.00169529961340025,0.97340417233624
0.85098157033181,0.218128852626555,"^GSPC","volatility log-return",0.00769113360225688,0.00157383366349269,0.974828939082027
0.772625987676768,0.248366137419301,"^GDAXI","absolute log-return",0.00693565384989608,0.00174083079810614,0.976212200783179
0.668223605534735,0.234115851290192,"^GDAXI","original",0.00605850530230488,0.00159714649702983,0.977436925070511
0.723890941365126,0.236837503561217,"^GDAXI","volatility log-return",0.00668829955457533,0.00168141895891565,0.975610161626584
0.622908925920444,0.20848227992802,"^FCHI","absolute log-return",0.00477109278095421,0.00117773324579882,0.984418226164729
0.693491087346006,0.236458109838343,"^FCHI","original",0.00590604798625025,0.00153017179351498,0.979651828615795
0.653411190454415,0.219250187768768,"^FCHI","volatility log-return",0.00535138942825944,0.00134252110754857,0.981742489414298
0.675302744277271,0.202757820792345,"^IXIC","absolute log-return",0.00613494197918055,0.00138985606056679,0.977224883137573
0.573171988109573,0.227616581106774,"^IXIC","original",0.00621540412292513,0.0017772311482496,0.970648932670179
0.732985827772899,0.216997833324894,"^IXIC","volatility log-return",0.00661525861158539,0.0015095436246838,0.976559813294113
0.331629224495573,0.199593740535698,"IMOEX.ME","absolute log-return",0.00514120426015679,0.00180719659622102,0.960925938265492
0.446445477792744,0.228319264637057,"IMOEX.ME","original",0.00545890699279441,0.00184564986550594,0.968606301479962
0.373278985241212,0.216014787511614,"IMOEX.ME","volatility log-return",0.00478078440238062,0.00170163866257128,0.970140399604393
0.737300759706438,0.20827369087419,"^N225","absolute log-return",0.00836659765477705,0.00182505138735687,0.963311513581307
0.789446681336461,0.229455182443443,"^N225","original",0.00716246141120587,0.00163387318572667,0.975467851433814
0.761258130511625,0.218096128992874,"^N225","volatility log-return",0.0078585079717963,0.00175200273522603,0.968984959155804
0.524100353227729,0.20738260872844,"^BVSP","absolute log-return",0.00509921697984845,0.00141096761008091,0.977555369303835
0.594963801508264,0.223637637957323,"^BVSP","original",0.0059336537219965,0.00162379446025157,0.974517408304
0.589804225364699,0.218315684387991,"^BVSP","volatility log-return",0.0055672872317132,0.00149596133206501,0.977240946711722
0.471396407978331,0.211980932894008,"GBPUSD=X","absolute log-return",0.00417083083610687,0.00126380584068061,0.982675570026458
0.561918378528852,0.226023467261373,"GBPUSD=X","original",0.00571569269751905,0.00164443436827285,0.974416937899314
0.515436923692426,0.220736774694494,"GBPUSD=X","volatility log-return",0.0047821260245439,0.0014238863189643,0.979778615724293
0.509537594088902,0.218519653181622,"EURUSD=X","absolute log-return",0.00430385146055353,0.00127809484851363,0.983315253360917
0.583344837434504,0.229180215873302,"EURUSD=X","original",0.00575538085216585,0.00163606915685128,0.975345886021639
0.536139830364461,0.225159962522317,"EURUSD=X","volatility log-return",0.00497532743474512,0.00147189114804137,0.979244094292874
0.569895960322374,0.217430717205445,"JPY=X","absolute log-return",0.00628299130236871,0.00172246775840901,0.969812317186822
0.59385201478718,0.226046678601807,"JPY=X","original",0.00590741948340469,0.00163586927673403,0.974681081846865
0.602598876420256,0.224003994084964,"JPY=X","volatility log-return",0.0063992518524798,0.00173837245614673,0.970995003863556
0.849491044226419,0.227719028627717,"COP=X","absolute log-return",0.00840292408570959,0.00179773905163481,0.970014281150293
0.500110869911803,0.234018919336999,"COP=X","original",0.00467761442870284,0.00150628480784087,0.979864612005415
0.596916924085167,0.228221556978118,"COP=X","volatility log-return",0.00569550507971757,0.00158652157708894,0.976591517405035
0.524694892136543,0.241216792505374,"TEMPAVGBOG","absolute log-return",0.0058629486410399,0.00188599521696343,0.970571027644377
0.518211765941037,0.230063596036126,"TEMPAVGBOG","original",0.0052038728674347,0.00160944389901365,0.976301465203578
0.529099202950847,0.236541927892213,"TEMPAVGBOG","volatility log-return",0.0061551997280522,0.00193102252387192,0.96800246273825
0.297325030402269,0.211398818894805,"PRCPBOG","absolute log-return",0.00173811277201274,0.000683268288357424,0.994845167147913
0.261594160839341,0.215444092447345,"PRCPBOG","original",0.00668360911039794,0.00287123251574461,0.919037749120054
0.310304961639622,0.210977601330573,"PRCPBOG","volatility log-return",0.00199435377595427,0.000765638816478089,0.993510231484095
0.141369739191593,0.214625114849345,"COVIDWLDC","absolute log-return",0.00189838388936565,0.00102193086798685,0.988879938309183
0.241492286582733,0.155657854690049,"COVIDWLDC","original",0.00570072433709137,0.00184455854318075,0.93488477163904
0.175066710341047,0.209726225842122,"COVIDWLDC","volatility log-return",0.00229520954654207,0.00112217603726929,0.985998504315854
0.119823788231698,0.225751206617877,"COVIDWLDD","absolute log-return",0.00208848091714514,0.00123609184339612,0.985347477185008
0.259665118827615,0.15999732185498,"COVIDWLDD","original",0.00492271419636493,0.00157230924631412,0.954289865562999
0.172894082479182,0.215650905141754,"COVIDWLDD","volatility log-return",0.00212043334106397,0.00106983082382506,0.987940203538632
